City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,ingeniero guillermo n. juarez,-23.9,-61.85,21.6,27,0,3.22,AR,1726440469
258,burang,30.25,81.1667,4.75,87,41,1.08,CN,1726440470
259,jalapa,19.5333,-96.9167,22.13,90,100,1.58,MX,1726440471
260,bulgan,48.8125,103.5347,3.63,83,0,1.01,MN,1726440472
261,revda,56.801,59.9303,10.3,98,11,1.1,RU,1726440473
262,cururupu,-1.8283,-44.8683,24.79,81,43,2.28,BR,1726440474
263,san patricio,28.017,-97.5169,29.97,75,100,3.48,US,1726440475
264,faya-largeau,17.9257,19.1043,34.3,15,5,5.47,TD,1726440477
265,kapuskasing,49.4169,-82.4331,27.05,50,75,7.72,CA,1726440478
266,nouadhibou,20.931,-17.0347,21.99,83,2,6.69,MR,1726440479
267,haiku-pauwela,20.9219,-156.3051,29.57,72,10,15.2,US,1726440480
268,tual,-5.6667,132.75,26.54,84,94,6.43,ID,1726440481
269,belyy yar,53.6039,91.3903,3.94,81,0,3.0,RU,1726440482
270,tlahualilo de zaragoza,26.1167,-103.45,29.91,38,17,3.0,MX,1726440483
271,felipe carrillo puerto,19.5833,-88.05,29.54,80,62,1.52,MX,1726440484
272,niquelandia,-14.4739,-48.4597,27.19,21,0,2.33,BR,1726440485
273,rio grande,-32.035,-52.0986,13.03,81,4,3.17,BR,1726440486
274,koryazhma,61.3143,47.1691,14.99,79,100,1.43,RU,1726440380
275,katabu,-4.9333,122.5167,24.5,77,45,1.08,ID,1726440489
276,amga,60.8953,131.9608,3.13,63,98,0.61,RU,1726440490
277,stilfontein,-26.8449,26.7683,15.57,16,100,1.23,ZA,1726440491
278,zhob,31.3411,69.4481,23.04,53,0,1.44,PK,1726440492
279,ust-nera,64.5667,143.2,2.48,74,100,2.35,RU,1726440493
280,thunder bay,48.4001,-89.3168,26.95,65,40,6.17,CA,1726440494
281,hasaki,35.7333,140.8333,25.87,90,67,2.94,JP,1726440495
282,jayapura,-2.5333,140.7,26.66,86,97,1.87,ID,1726440496
283,kudahuvadhoo,2.6708,72.8944,28.78,72,76,4.62,MV,1726440497
284,fruitland,38.3221,-75.6202,23.03,68,0,5.14,US,1726440498
285,sittwe,20.15,92.9,26.45,87,100,5.36,MM,1726440500
286,whakatane,-37.9585,176.9854,13.02,70,100,2.68,NZ,1726440501
287,mount pearl,47.5166,-52.7813,10.64,79,20,5.66,CA,1726440502
288,kutum,14.2,24.6667,25.5,53,85,3.19,SD,1726440503
289,el bauga,18.262,33.9081,33.62,14,24,3.56,SD,1726440504
290,san pedro pochutla,15.7333,-96.4667,32.84,73,91,2.3,MX,1726440505
291,gamba,-2.65,10.0,24.15,90,100,2.2,GA,1726440506
292,ust-tsilma,65.441,52.1498,14.28,90,96,1.84,RU,1726440507
293,port isabel,26.0734,-97.2086,27.79,95,100,3.6,US,1726440510
294,kabansk,52.0486,106.6528,5.83,88,100,0.57,RU,1726440511
295,talghar,43.3044,77.2328,8.03,66,40,2.0,KZ,1726440512
296,hornostayivka,47.0078,33.729,24.05,40,95,11.61,UA,1726440513
297,nar'yan-mar,67.6713,53.087,14.31,76,97,3.34,RU,1726440514
298,sydney mines,46.2367,-60.2177,15.03,88,13,0.45,CA,1726440515
299,al jawf,29.5,38.75,24.0,51,0,4.3,SA,1726440516
300,afif,23.9065,42.9172,27.42,19,22,3.0,SA,1726440517
301,mil'kovo,55.6078,37.7956,14.08,53,68,2.19,RU,1726440518
302,fale old settlement,-9.3852,-171.2468,28.0,76,77,3.92,TK,1726440519
303,dubbo,-32.25,148.6167,9.07,57,0,2.57,AU,1726440521
304,teshi old town,5.5836,-0.1072,25.31,88,40,5.66,GH,1726440522
305,saverne,48.8333,7.25,8.03,89,36,0.16,FR,1726440523
306,castillos,-34.1667,-53.8333,7.95,87,0,2.35,UY,1726440524
307,balykchy,42.4557,76.1861,12.41,57,0,0.48,KG,1726440525
308,opuwo,-18.0607,13.84,20.76,25,48,2.43,NA,1726440526
309,harlingen,26.1906,-97.6961,25.03,100,100,0.0,US,1726440527
310,solhan,38.9634,41.0293,18.53,34,92,1.01,TR,1726440528
